,datenumber,datestr,Week,inflation,chime,varo,mobilebank
86,2021-10-12,2021-10-12,10/17/2021,31.0,6.428571428571429,1.2857142857142858,12.142857142857142
85,2021-10-11,2021-10-11,10/17/2021,31.0,6.428571428571429,1.2857142857142858,12.142857142857142
84,2021-10-10,2021-10-10,10/10/2021,33.0,7.0,1.1428571428571428,11.714285714285714
83,2021-10-09,2021-10-09,10/10/2021,33.0,7.0,1.1428571428571428,11.714285714285714
82,2021-10-08,2021-10-08,10/10/2021,33.0,7.0,1.1428571428571428,11.714285714285714
81,2021-10-07,2021-10-07,10/10/2021,33.0,7.0,1.1428571428571428,11.714285714285714
80,2021-10-06,2021-10-06,10/10/2021,33.0,7.0,1.1428571428571428,11.714285714285714
79,2021-10-05,2021-10-05,10/10/2021,33.0,7.0,1.1428571428571428,11.714285714285714
78,2021-10-04,2021-10-04,10/10/2021,33.0,7.0,1.1428571428571428,11.714285714285714
77,2021-10-03,2021-10-03,10/3/2021,25.0,6.571428571428571,1.1428571428571428,11.142857142857142
76,2021-10-02,2021-10-02,10/3/2021,25.0,6.571428571428571,1.1428571428571428,11.142857142857142
75,2021-10-01,2021-10-01,10/3/2021,25.0,6.571428571428571,1.1428571428571428,11.142857142857142
